original_order,id,title,multiauthored,authors,repeat_author
1,198902277,The Wedding People,0,Alison Espach,0
2,208931300,Intermezzo,0,Sally Rooney,1
3,133938826,Welcome to the Hyunam-Dong Bookshop,1,Hwang Bo-Reum,0
3,133938826,Welcome to the Hyunam-Dong Bookshop,1,Shanna Tan,0
4,195430687,Blue Sisters,0,Coco Mellors,1
5,208516656,Here One Moment,0,Liane Moriarty,1
6,200484931,Swan Song,0,Elin Hilderbrand,1
7,198688460,Good Material,0,Dolly Alderton,0
8,200987323,I Hope This Finds You Well,0,Natalie Sue,0
9,199534613,Margo's Got Money Troubles,0,Rufi Thorpe,0
10,139400713,Martyr!,0,Kaveh Akbar,1
11,174147294,Wandering Stars,0,Tommy Orange,1
12,62929342,Real Americans,0,Rachel Khong,1
13,200028726,Sandwich,0,Catherine Newman,0
14,204811915,Tell Me Everything,0,Elizabeth Strout,1
15,197798168,All Fours,0,Miranda July,0
16,205478762,Playground,0,Richard Powers,1
17,199344873,Same As It Ever Was,0,Claire Lombardo,1
18,199793431,The Mighty Red,0,Louise Erdrich,1
19,176443453,Greta & Valdin,0,Rebecca K. Reilly,0
20,220572240,Colored Television,0,Danzy Senna,0
21,127305853,The Women,0,Kristin Hannah,1
22,173754979,James,0,Percival Everett,0
23,112975658,The Frozen River,0,Ariel Lawhon,1
24,207909446,The Booklover's Library,0,Madeline Martin,1
25,199798217,The Lion Women of Tehran,0,Marjan Kamali,0
26,203164368,By Any Other Name,0,Jodi Picoult,1
27,181110045,The Briar Club,0,Kate Quinn,1
28,199223201,Husbands & Lovers,0,Beatriz Williams,1
29,217362723,The Seventh Veil of Salome,0,Silvia Moreno-Garcia,1
30,127306192,Anita de Monte Laughs Last,0,Xóchitl González,1
31,202468422,There Are Rivers in the Sky,0,Elif Shafak,1
32,202257499,Behind Every Good Man,0,Sara Goodman Confino,0
33,199798868,Long Island,0,Colm Tóibín,0
34,195430688,The Paris Novel,0,Ruth Reichl,1
35,181110028,The Great Divide,0,Cristina Henríquez,1
36,203579107,The Love Elixir of Augusta Stern,0,Lynda Cohen Loigman,1
37,214944658,The Storm We Made,0,Vanessa Chan,0
38,123847255,The Bullet Swallower,0,Elizabeth Gonzalez James,0
39,64417401,The Phoenix Crown,1,Kate Quinn,1
39,64417401,The Phoenix Crown,1,Janie Chang,0
40,198563674,Shelterwood,0,Lisa Wingate,1
41,199700434,The God of the Woods,0,Liz Moore,1
42,164444179,First Lie Wins,0,Ashley Elston,0
43,208503244,The Boyfriend,0,Freida McFadden,1
44,195967140,The Teacher,0,Freida McFadden,1
45,203019740,All the Colors of the Dark,0,Chris Whitaker,1
46,127279000,Listen for the Lie,0,Amy Tintera,0
47,219449299,We Solve Murders,0,Richard Osman,1
48,194020321,Home Is Where the Bodies Are,0,Jeneva Rose,0
49,199743738,The Midnight Feast,0,Lucy Foley,1
50,181350367,How to Solve Your Own Murder,0,Kristen Perrin,0
