genre,count,Regex that matches
"Fiction,",3003,TRUE
"Audiobook,",2869,TRUE
"Nonfiction,",1627,TRUE
"Fantasy,",1459,TRUE
"Romance,",1232,TRUE
"Contemporary,",1078,TRUE
"Young Adult,",987,TRUE
"Adult,",940,TRUE
"Mystery,",818,TRUE
"Biography,",727,TRUE
"Memoir,",693,TRUE
"Historical Fiction,",616,TRUE
"Thriller,",576,TRUE
"Historical,",575,TRUE
"Science Fiction,",558,TRUE
"History,",536,TRUE
"Humor,",511,TRUE
"Horror,",430,TRUE
"LGBT,",407,TRUE
"Mystery Thriller,",384,TRUE
"Paranormal,",376,TRUE
"Biography Memoir,",342,TRUE
"Childrens,",326,TRUE
"Literary Fiction,",305,TRUE
"Poetry,",292,TRUE
"Crime,",285,TRUE
"Queer,",285,TRUE
"Graphic Novels,",278,TRUE
"Contemporary Romance,",264,TRUE
"Magic,",261,TRUE
"Middle Grade,",257,TRUE
"Science,",256,TRUE
"Adventure,",240,TRUE
"Politics,",240,TRUE
"Comics,",228,TRUE
"Food,",227,TRUE
"Urban Fantasy,",225,TRUE
"Feminism,",224,TRUE
"Realistic Fiction,",213,TRUE
"Suspense,",212,TRUE
"Picture Books,",210,TRUE
"Dystopia,",208,TRUE
"Chick Lit,",198,TRUE
"Self Help,",177,TRUE
"Cooking,",175,TRUE
"Comedy,",173,TRUE
"War,",168,TRUE
"Psychology,",167,TRUE
"Cookbooks,",166,TRUE
"Adult Fiction,",152,TRUE
"Mental Health,",151,TRUE
"Autobiography,",150,TRUE
"Essays,",150,TRUE
"Race,",150,TRUE
"Family,",142,TRUE
"New Adult,",141,TRUE
"Vampires,",134,TRUE
"Animals,",133,TRUE
"Graphic Novels Comics,",133,TRUE
"Health,",124,TRUE
"Young Adult Fantasy,",122,TRUE
"Science Fiction Fantasy,",117,TRUE
"Mythology,",112,TRUE
"High Fantasy,",109,TRUE
"Magical Realism,",108,TRUE
"Business,",106,TRUE
"World War II,",105,TRUE
"Nature,",103,TRUE
"Reference,",103,TRUE
"Space,",100,TRUE
"Storytime,",99,TRUE
"American History,",97,TRUE
"True Crime,",97,TRUE
"Enemies To Lovers,",91,TRUE
"Paranormal Romance,",91,TRUE
"Short Stories,",91,TRUE
"Romantasy,",89,TRUE
"Retellings,",88,TRUE
"Friendship,",80,TRUE
"Travel,",80,TRUE
"Space Opera,",79,TRUE
"Personal Development,",72,TRUE
"Military Fiction,",71,TRUE
"Social Justice,",71,TRUE
"Art,",70,TRUE
"Epic Fantasy,",70,TRUE
"Philosophy,",69,TRUE
"Sports,",67,TRUE
"Music,",65,TRUE
"Fantasy Romance,",64,TRUE
"Novels,",64,TRUE
"Book Club,",63,TRUE
"Books About Books,",61,TRUE
"Post Apocalyptic,",57,TRUE
"Time Travel,",55,TRUE
"Foodie,",52,TRUE
"Sociology,",52,TRUE
"Witches,",52,TRUE
"African American,",51,TRUE
"Fae,",51,TRUE
"Technology,",51,TRUE
"Young Adult Contemporary,",51,TRUE
"Coming Of Age,",50,TRUE
"Gothic,",50,TRUE
"Lesbian,",50,TRUE
"Religion,",48,TRUE
"Fairy Tales,",47,TRUE
"Food and Drink,",47,TRUE
"Aliens,",43,TRUE
"Environment,",42,TRUE
"Friends To Lovers,",42,TRUE
"Womens,",42,TRUE
"Erotica,",41,TRUE
"Parenting,",39,TRUE
"Asia,",38,TRUE
"Nutrition,",38,TRUE
"Speculative Fiction,",38,TRUE
"Economics,",37,TRUE
"Zombies,",37,TRUE
"Biology,",36,TRUE
"Medicine,",36,TRUE
"Dragons,",35,TRUE
"Superheroes,",34,TRUE
"Africa,",32,TRUE
"Literature,",32,TRUE
"Novella,",32,TRUE
"Canada,",31,TRUE
"Historical Romance,",31,TRUE
"Comic Book,",30,TRUE
"Ghosts,",30,TRUE
"China,",29,TRUE
"Medical,",29,TRUE
"Supernatural,",29,TRUE
"British Literature,",28,TRUE
"Indigenous,",28,TRUE
"Steampunk,",28,TRUE
"Culinary,",27,TRUE
"Leadership,",27,TRUE
"High School,",26,TRUE
"Psychological Thriller,",26,TRUE
"Vegan,",26,TRUE
