id,title,genres,fiction_subject,audiobook_subject,nonfiction_subject,fantasy_subject,romance_subject,contemporary_subject,young adult_subject,adult_subject,mystery_subject,biography_subject,memoir_subject,historical fiction_subject,thriller_subject,historical_subject,science_fiction_subject,history_subject,humor_subject,horror_subject,lgbt_subject,mystery_thriller_subject
198902277,The Wedding People,"Fiction, Romance, Audiobook, Contemporary, Literary Fiction, Chick Lit, Humor, ...more",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
208931300,Intermezzo,"Fiction, Contemporary, Literary Fiction, Romance, Audiobook, Ireland, Irish Literature, ...more",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133938826,Welcome to the Hyunam-Dong Bookshop,"Contemporary, Books About Books, Audiobook, Cozy, Literary Fiction, Slice Of Life, Adult, ...more",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
195430687,Blue Sisters,"Fiction, Contemporary, Literary Fiction, Audiobook, Family, Adult, LGBT, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
208516656,Here One Moment,"Fiction, Audiobook, Mystery, Contemporary, Thriller, Mystery Thriller, Adult, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
200484931,Swan Song,"Fiction, Romance, Audiobook, Mystery, Chick Lit, Contemporary, Adult Fiction, ...more",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
198688460,Good Material,"Fiction, Romance, Audiobook, Contemporary, Literary Fiction, Adult, Humor, ...more",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
200987323,I Hope This Finds You Well,"Fiction, Romance, Contemporary, Audiobook, Humor, Chick Lit, Adult, ...more",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
199534613,Margo's Got Money Troubles,"Fiction, Audiobook, Contemporary, Literary Fiction, Humor, Adult, Chick Lit, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
139400713,Martyr!,"Fiction, Literary Fiction, Poetry, Contemporary, LGBT, Audiobook, Queer, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
