id,title,year,fiction_subject,audiobook_subject,nonfiction_subject,fantasy_subject,romance_subject,contemporary_subject,young adult_subject,adult_subject,mystery_subject,biography_subject,memoir_subject,historical fiction_subject,thriller_subject,historical_subject,science_fiction_subject,history_subject,humor_subject,horror_subject,lgbt_subject,mystery_thriller_subject
198902277,The Wedding People,2024,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208931300,Intermezzo,2024,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133938826,Welcome to the Hyunam-Dong Bookshop,2024,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195430687,Blue Sisters,2024,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
208516656,Here One Moment,2024,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
200484931,Swan Song,2024,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198688460,Good Material,2024,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
200987323,I Hope This Finds You Well,2024,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
199534613,Margo's Got Money Troubles,2024,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
139400713,Martyr!,2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174147294,Wandering Stars,2024,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
62929342,Real Americans,2024,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200028726,Sandwich,2024,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204811915,Tell Me Everything,2024,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197798168,All Fours,2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205478762,Playground,2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199344873,Same As It Ever Was,2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199793431,The Mighty Red,2024,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176443453,Greta & Valdin,2024,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220572240,Colored Television,2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127305853,The Women,2024,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
