Year,Subject,Book Count,Year Book Total,Percent_True_Formula,Percent_True,Percent-Rounded,Percent of Books
2024,fiction,184,272,67.64705882,67.64705882,67.65,67.65
2024,audiobook,215,272,79.04411765,79.04411765,79.05,79.05
2024,nonfiction,61,272,22.42647059,22.42647059,22.43,22.43
2024,fantasy,89,272,32.72058824,32.72058824,32.73,32.73
2024,romance,93,272,34.19117647,34.19117647,34.2,34.2
2024,contemporary,67,272,24.63235294,24.63235294,24.64,24.64
2024,young adult,41,272,15.07352941,15.07352941,15.08,15.08
2024,adult,67,272,24.63235294,24.63235294,24.64,24.64
2024,mystery,70,272,25.73529412,25.73529412,25.74,25.74
2024,biography,30,272,11.02941176,11.02941176,11.03,11.03
2024,memoir,28,272,10.29411765,10.29411765,10.3,10.3
2024,historical fiction,49,272,18.01470588,18.01470588,18.02,18.02
2024,thriller,53,272,19.48529412,19.48529412,19.49,19.49
2024,historical,39,272,14.33823529,14.33823529,14.34,14.34
2024,science fiction,24,272,8.823529412,8.823529412,8.83,8.83
2024,history,31,272,11.39705882,11.39705882,11.4,11.4
2024,humor,15,272,5.514705882,5.514705882,5.52,5.52
2024,horror,37,272,13.60294118,13.60294118,13.61,13.61
2024,lgbt,27,272,9.926470588,9.926470588,9.93,9.93
2024,mystery thriller,39,272,14.33823529,14.33823529,14.34,14.34
2024,paranormal,17,272,6.25,6.25,6.25,6.25
2024,biography memoir,15,272,5.514705882,5.514705882,5.52,5.52
2024,childrens,0,272,0,0,0,0
2024,literary fiction,35,272,12.86764706,12.86764706,12.87,12.87
2024,poetry,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,crime,17,272,6.25,6.25,6.25,6.25
2024,queer,23,272,8.455882353,8.455882353,8.46,8.46
2024,graphic novels,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,contemporary romance,21,272,7.720588235,7.720588235,7.73,7.73
2024,magic,9,272,3.308823529,3.308823529,3.31,3.31
2024,middle grade,0,272,0,0,0,0
2024,science,9,272,3.308823529,3.308823529,3.31,3.31
2024,adventure,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,politics,14,272,5.147058824,5.147058824,5.15,5.15
2024,comics,0,272,0,0,0,0
2024,food,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,urban fantasy,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,feminism,13,272,4.779411765,4.779411765,4.78,4.78
2024,realistic fiction,0,272,0,0,0,0
2024,suspense,15,272,5.514705882,5.514705882,5.52,5.52
2024,picture books,0,272,0,0,0,0
2024,dystopia,10,272,3.676470588,3.676470588,3.68,3.68
2024,chick lit,14,272,5.147058824,5.147058824,5.15,5.15
2024,self help,8,272,2.941176471,2.941176471,2.95,2.95
2024,cooking,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,comedy,0,272,0,0,0,0
2024,war,8,272,2.941176471,2.941176471,2.95,2.95
2024,psychology,9,272,3.308823529,3.308823529,3.31,3.31
2024,cookbooks,0,272,0,0,0,0
2024,adult fiction,6,272,2.205882353,2.205882353,2.21,2.21
2024,mental health,9,272,3.308823529,3.308823529,3.31,3.31
2024,autobiography,5,272,1.838235294,1.838235294,1.84,1.84
2024,essays,6,272,2.205882353,2.205882353,2.21,2.21
2024,race,9,272,3.308823529,3.308823529,3.31,3.31
2024,family,6,272,2.205882353,2.205882353,2.21,2.21
2024,new adult,0,272,0,0,0,0
2024,vampires,7,272,2.573529412,2.573529412,2.58,2.58
2024,animals,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,graphic novels comics,0,272,0,0,0,0
2024,health,14,272,5.147058824,5.147058824,5.15,5.15
2024,young adult fantasy,6,272,2.205882353,2.205882353,2.21,2.21
2024,science fiction fantasy,3,272,1.102941176,1.102941176,1.11,1.11
2024,mythology,13,272,4.779411765,4.779411765,4.78,4.78
2024,high fantasy,0,272,0,0,0,0
2024,magical realism,11,272,4.044117647,4.044117647,4.05,4.05
2024,business,5,272,1.838235294,1.838235294,1.84,1.84
2024,world war ii,3,272,1.102941176,1.102941176,1.11,1.11
2024,nature,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,reference,0,272,0,0,0,0
2024,space,5,272,1.838235294,1.838235294,1.84,1.84
2024,storytime,0,272,0,0,0,0
2024,american history,8,272,2.941176471,2.941176471,2.95,2.95
2024,true crime,10,272,3.676470588,3.676470588,3.68,3.68
2024,enemies to lovers,12,272,4.411764706,4.411764706,4.42,4.42
2024,paranormal romance,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,short stories,3,272,1.102941176,1.102941176,1.11,1.11
2024,romantasy,31,272,11.39705882,11.39705882,11.4,11.4
2024,retellings,9,272,3.308823529,3.308823529,3.31,3.31
2024,friendship,0,272,0,0,0,0
2024,travel,6,272,2.205882353,2.205882353,2.21,2.21
2024,space opera,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,personal development,4,272,1.470588235,1.470588235,1.48,1.48
2024,military fiction,3,272,1.102941176,1.102941176,1.11,1.11
2024,social justice,5,272,1.838235294,1.838235294,1.84,1.84
2024,art,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,epic fantasy,0,272,0,0,0,0
2024,philosophy,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,sports,3,272,1.102941176,1.102941176,1.11,1.11
2024,music,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,fantasy romance,21,272,7.720588235,7.720588235,7.73,7.73
2024,novels,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,book club,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,books about books,5,272,1.838235294,1.838235294,1.84,1.84
2024,post apocalyptic,0,272,0,0,0,0
2024,time travel,4,272,1.470588235,1.470588235,1.48,1.48
2024,foodie,0,272,0,0,0,0
2024,sociology,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,witches,6,272,2.205882353,2.205882353,2.21,2.21
2024,african american,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,fae,12,272,4.411764706,4.411764706,4.42,4.42
2024,technology,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,young adult contemporary,0,272,0,0,0,0
2024,coming of age,4,272,1.470588235,1.470588235,1.48,1.48
2024,gothic,13,272,4.779411765,4.779411765,4.78,4.78
2024,lesbian,10,272,3.676470588,3.676470588,3.68,3.68
2024,religion,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,fairy tales,0,272,0,0,0,0
2024,food and drink,0,272,0,0,0,0
2024,aliens,0,272,0,0,0,0
2024,environment,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,friends to lovers,3,272,1.102941176,1.102941176,1.11,1.11
2024,womens,4,272,1.470588235,1.470588235,1.48,1.48
2024,erotica,0,272,0,0,0,0
2024,parenting,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,asia,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,nutrition,0,272,0,0,0,0
2024,speculative fiction,4,272,1.470588235,1.470588235,1.48,1.48
2024,economics,0,272,0,0,0,0
2024,zombies,0,272,0,0,0,0
2024,biology,0,272,0,0,0,0
2024,medicine,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,dragons,6,272,2.205882353,2.205882353,2.21,2.21
2024,superheroes,0,272,0,0,0,0
2024,africa,0,272,0,0,0,0
2024,literature,0,272,0,0,0,0
2024,novella,4,272,1.470588235,1.470588235,1.48,1.48
2024,canada,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,historical romance,0,272,0,0,0,0
2024,comic book,0,272,0,0,0,0
2024,ghosts,0,272,0,0,0,0
2024,china,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,medical,0,272,0,0,0,0
2024,supernatural,0,272,0,0,0,0
2024,british literature,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,indigenous,8,272,2.941176471,2.941176471,2.95,2.95
2024,steampunk,0,272,0,0,0,0
2024,culinary,0,272,0,0,0,0
2024,leadership,0,272,0,0,0,0
2024,high school,0,272,0,0,0,0
2024,psychological thriller,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,vegan,0,272,0,0,0,0
2024,christian,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,dark romance,5,272,1.838235294,1.838235294,1.84,1.84
2024,shapeshifters,0,272,0,0,0,0
2024,france,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,grief,3,272,1.102941176,1.102941176,1.11,1.11
2024,pop culture,3,272,1.102941176,1.102941176,1.11,1.11
2024,india,0,272,0,0,0,0
2024,mental illness,0,272,0,0,0,0
2024,cultural,0,272,0,0,0,0
2024,abuse,0,272,0,0,0,0
2024,american,0,272,0,0,0,0
2024,ireland,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,love,0,272,0,0,0,0
2024,new york,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,productivity,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,romantic suspense,0,272,0,0,0,0
2024,sports romance,2,272,0.7352941176,0.7352941176,0.74,0.74
2024,teen,0,272,0,0,0,0
2024,action,0,272,0,0,0,0
2024,apocalyptic,0,272,0,0,0,0
2024,dark,1,272,0.3676470588,0.3676470588,0.37,0.37
2024,death,0,272,0,0,0,0
2024,greek mythology,1,272,0.3676470588,0.3676470588,0.37,0.37
