genre,count,regex that matches,formula text
"Fiction,",3003,TRUE,"=REGEXMATCH (A2, ""^Fiction,|, Fiction,|, Fiction$"")"
"Audiobook,",2869,TRUE,"=REGEXMATCH (A3, ""Audiobook"")"
"Nonfiction,",1627,TRUE,"=REGEXMATCH (A4, ""^Nonfiction,|, Nonfiction,|, Nonfiction$"")"
"Fantasy,",1459,TRUE,"=REGEXMATCH (A5, ""^Fantasy,|, Fantasy,|, Fantasy$"")"
"Romance,",1232,TRUE,"=REGEXMATCH (A6, ""^Romance,|, Romance,|, Romance$"")"
"Contemporary,",1078,TRUE,"=REGEXMATCH (A7, ""^Contemporary,|, Contemporary,|, Contemporary$"")"
"Young Adult,",987,TRUE,"=REGEXMATCH (A8, ""Young Adult,|, Young Adult$"")"
"Adult,",940,TRUE,"=REGEXMATCH (A9, ""^Adult,|, Adult,|, Adult$"")"
"Mystery,",818,TRUE,"=REGEXMATCH (A10, ""^Mystery,|, Mystery,|, Mystery$"")"
"Biography,",727,TRUE,"=REGEXMATCH (A11, ""^Biography,|, Biography,|, Biography$"")"
"Memoir,",693,TRUE,"=REGEXMATCH (A12, ""^Memoir,|, Memoir,|, Memoir$"")"
"Historical Fiction,",616,TRUE,"=REGEXMATCH (A13, ""Historical Fiction"")"
"Thriller,",576,TRUE,"=REGEXMATCH (A14, ""^Thriller,|, Thriller,|, Thriller$"")"
"Historical,",575,TRUE,"=REGEXMATCH (A15, ""^Historical,|, Historical,|, Historical$"")"
"Science Fiction,",558,TRUE,"=REGEXMATCH (A16, ""^Science Fiction,|, Science Fiction,|, Science Fiction$"")"
"History,",536,TRUE,"=REGEXMATCH (A17, ""^History,|, History,|, History$"")"
"Humor,",511,TRUE,"=REGEXMATCH (A18, ""^Humor,|, Humor,|, Humor$"")"
"Horror,",430,TRUE,"=REGEXMATCH (A19, ""^Horror,|, Horror,|, Horror$"")"
"LGBT,",407,TRUE,"=REGEXMATCH (A20, ""LGBT"")"
"Mystery Thriller,",384,TRUE,"=REGEXMATCH (A21, ""Mystery Thriller"")"
"Paranormal,",376,TRUE,"=REGEXMATCH (A22, ""^Paranormal,|, Paranormal,|, Paranormal$"")"
"Biography Memoir,",342,TRUE,"=REGEXMATCH (A23, ""Biography Memoir"")"
"Childrens,",326,TRUE,"=REGEXMATCH (A24, ""Childrens"")"
"Literary Fiction,",305,TRUE,"=REGEXMATCH (A25, ""Literary Fiction"")"
"Poetry,",292,TRUE,"=REGEXMATCH (A26, ""^Poetry,|, Poetry,|, Poetry$"")"
"Crime,",285,TRUE,"=REGEXMATCH (A27, ""^Crime,|, Crime,|, Crime$"")"
"Queer,",285,TRUE,"=REGEXMATCH (A28, ""^Queer,|, Queer,|, Queer$"")"
"Graphic Novels,",278,TRUE,"=REGEXMATCH (A29, ""^Graphic Novels,|, Graphic Novels,|, Graphic Novels"")"
"Contemporary Romance,",264,TRUE,"=REGEXMATCH (A30, ""Contemporary Romance"")"
"Magic,",261,TRUE,"=REGEXMATCH (A31, ""^Magic,|, Magic,|, Magic$"")"
"Middle Grade,",257,TRUE,"=REGEXMATCH (A32, ""Middle Grade"")"
"Science,",256,TRUE,"=REGEXMATCH (A33, ""^Science,|, Science,|, Science$"")"
"Adventure,",240,TRUE,"=REGEXMATCH (A34, ""Adventure"")"
"Politics,",240,TRUE,"=REGEXMATCH (A35, ""Politics"")"
"Comics,",228,TRUE,"=REGEXMATCH (A36, ""Comics"")"
"Food,",227,TRUE,"=REGEXMATCH (A37, ""^Food,|, Food,|, Food$"")"
"Urban Fantasy,",225,TRUE,"=REGEXMATCH (A38, ""Urban Fantasy"")"
"Feminism,",224,TRUE,"=REGEXMATCH (A39, ""Feminism"")"
"Realistic Fiction,",213,TRUE,"=REGEXMATCH (A40, ""Realistic Fiction"")"
"Suspense,",212,TRUE,"=REGEXMATCH (A41, ""Suspense"")"
"Picture Books,",210,TRUE,"=REGEXMATCH (A42, ""Picture Books"")"
"Dystopia,",208,TRUE,"=REGEXMATCH (A43, ""Dystopia"")"
"Chick Lit,",198,TRUE,"=REGEXMATCH (A44, ""Chick Lit"")"
"Self Help,",177,TRUE,"=REGEXMATCH (A45, ""Self Help"")"
"Cooking,",175,TRUE,"=REGEXMATCH (A46, ""Cooking"")"
"Comedy,",173,TRUE,"=REGEXMATCH (A47, ""Comedy"")"
"War,",168,TRUE,"=REGEXMATCH (A48, ""War"")"
"Psychology,",167,TRUE,"=REGEXMATCH (A49, ""Psychology"")"
"Cookbooks,",166,TRUE,"=REGEXMATCH (A50, ""Cookbooks"")"
"Adult Fiction,",152,TRUE,"=REGEXMATCH (A51, ""^Adult Fiction,|, Adult Fiction,|, Adult Fiction$"")"
"Mental Health,",151,TRUE,"=REGEXMATCH (A52, ""Mental Health"")"
"Autobiography,",150,TRUE,"=REGEXMATCH (A53, ""Autobiography"")"
"Essays,",150,TRUE,"=REGEXMATCH (A54, ""Essays"")"
"Race,",150,TRUE,"=REGEXMATCH (A55, ""Race"")"
"Family,",142,TRUE,"=REGEXMATCH (A56, ""Family"")"
"New Adult,",141,TRUE,"=REGEXMATCH (A57, ""New Adult"")"
"Vampires,",134,TRUE,"=REGEXMATCH (A58, ""Vampires"")"
"Animals,",133,TRUE,"=REGEXMATCH (A59, ""Animals"")"
"Graphic Novels Comics,",133,TRUE,"=REGEXMATCH (A60, ""Graphic Novels Comics"")"
"Health,",124,TRUE,"=REGEXMATCH (A61, ""Health"")"
"Young Adult Fantasy,",122,TRUE,"=REGEXMATCH (A62, ""Young Adult Fantasy"")"
"Science Fiction Fantasy,",117,TRUE,"=REGEXMATCH (A63, ""^Science Fiction Fantasy,|, Science Fiction Fantasy,|, Science Fiction Fantasy$"")"
"Mythology,",112,TRUE,"=REGEXMATCH (A64, ""Mythology"")"
"High Fantasy,",109,TRUE,"=REGEXMATCH (A65, ""High Fantasy"")"
"Magical Realism,",108,TRUE,"=REGEXMATCH (A66, ""Magical Realism"")"
"Business,",106,TRUE,"=REGEXMATCH (A67, ""Business"")"
"World War II,",105,TRUE,"=REGEXMATCH (A68, ""World War II"")"
"Nature,",103,TRUE,"=REGEXMATCH (A69, ""Nature"")"
"Reference,",103,TRUE,"=REGEXMATCH (A70, ""Reference"")"
"Space,",100,TRUE,"=REGEXMATCH (A71, ""Space,|Space$"")"
"Storytime,",99,TRUE,"=REGEXMATCH (A72, ""Storytime"")"
"American History,",97,TRUE,"=REGEXMATCH (A73, ""^American History,|, American History,|, American History$"")"
"True Crime,",97,TRUE,"=REGEXMATCH (A74, ""True Crime"")"
"Enemies To Lovers,",91,TRUE,"=REGEXMATCH (A75, ""Enemies To Lovers"")"
"Paranormal Romance,",91,TRUE,"=REGEXMATCH (A76, ""Paranormal Romance"")"
"Short Stories,",91,TRUE,"=REGEXMATCH (A77, ""Short Stories"")"
"Romantasy,",89,TRUE,"=REGEXMATCH (A78, ""Romantasy"")"
"Retellings,",88,TRUE,"=REGEXMATCH (A79, ""Retellings"")"
"Friendship,",80,TRUE,"=REGEXMATCH (A80, ""Friendship"")"
"Travel,",80,TRUE,"=REGEXMATCH (A81, ""Travel,|, Travel$"")"
"Space Opera,",79,TRUE,"=REGEXMATCH (A82, ""Space Opera"")"
"Personal Development,",72,TRUE,"=REGEXMATCH (A83, ""Personal Development"")"
"Military Fiction,",71,TRUE,"=REGEXMATCH (A84, ""Military Fiction"")"
"Social Justice,",71,TRUE,"=REGEXMATCH (A85, ""Social Justice"")"
"Art,",70,TRUE,"=REGEXMATCH (A86, ""^Art,|, Art, |, Art$"")"
"Epic Fantasy,",70,TRUE,"=REGEXMATCH (A87, ""Epic Fantasy"")"
"Philosophy,",69,TRUE,"=REGEXMATCH (A88, ""Philosophy"")"
"Sports,",67,TRUE,"=REGEXMATCH (A89, ""Sports,|, Sports$"")"
"Music,",65,TRUE,"=REGEXMATCH (A90, ""^Music,|, Music,|, Music$"")"
"Fantasy Romance,",64,TRUE,"=REGEXMATCH (A91, ""Fantasy Romance"")"
"Novels,",64,TRUE,"=REGEXMATCH (A92, ""Novels"")"
"Book Club,",63,TRUE,"=REGEXMATCH (A93, ""Book Club"")"
"Books About Books,",61,TRUE,"=REGEXMATCH (A94, ""Books About Books"")"
"Post Apocalyptic,",57,TRUE,"=REGEXMATCH (A95, ""Post Apocalyptic"")"
"Time Travel,",55,TRUE,"=REGEXMATCH (A96, ""Time Travel"")"
"Foodie,",52,TRUE,"=REGEXMATCH (A97, ""Foodie"")"
"Sociology,",52,TRUE,"=REGEXMATCH (A98, ""Sociology"")"
"Witches,",52,TRUE,"=REGEXMATCH (A99, ""Witches"")"
"African American,",51,TRUE,"=REGEXMATCH (A100, ""^African American,|, African American,|, African American$"")"
"Fae,",51,TRUE,"=REGEXMATCH (A101, ""^Fae,|, Fae,|, Fae$"")"
"Technology,",51,TRUE,"=REGEXMATCH (A102, ""Technology"")"
"Young Adult Contemporary,",51,TRUE,"=REGEXMATCH (A103, ""Young Adult Contemporary"")"
"Coming Of Age,",50,TRUE,"=REGEXMATCH (A104, ""Coming Of Age"")"
